# wx wy wz w Lxx Lyy Lzz
  -1.2491287418881121E-004  -3.0584453355472908E-003  -2.6455145203517251E-003   4.0457926508980797E-003  -128.11705998912964       -360.57247685110087       -119.77771320261927     
  -1.8394328364734764E-003  -6.0347683771402733E-003   2.5206532546927094E-002   2.5984057142119356E-002  -94.181215521847577       -272.66846791432727        259.66564120197523     
  -1.7009273478491391E-002   5.9600560036080826E-003   2.7507075581693099E-002   3.2885815466386602E-002  -288.37439658083724        775.21476878632552        232.22625144421229     
   1.0596971406865604E-002  -6.2115772580142732E-004  -1.8508791099963617E-002   2.1336752046652800E-002   196.03463544432606       -185.18038185872462       -143.35745664404041     
   2.0001503009839331E-003  -1.9254895481068835E-003  -9.3376234262106117E-003   9.7416283277546659E-003  -299.67469678698654       -311.05522456828334       -352.43280841422200     
  -1.4928067742873904E-003   6.6290503412706654E-003   1.8111297030518392E-002   1.9344039408048241E-002   791.72707036084739        1006.4552306649929        858.47773965515330     
  -3.6154235533924408E-003  -2.2788942829701782E-003   1.9537431473329415E-002   1.9999396870866427E-002   526.39919278825937       -29.143057277995691        485.90764703571779     
   4.9496922070187341E-003  -2.4397813393499295E-003  -8.5015358020055290E-003   1.0135487009554297E-002  -53.557670484819674       -544.71933042082537       -232.23651202549556     
  -3.8600562690831210E-003   1.6142453946129450E-003  -8.7624737589636972E-004   4.2747669010464511E-003  -458.75482959871567        293.99361054342006       -378.29806536081702     
  -1.1530611857911642E-002  -1.1414123630399473E-003   1.6744151477729681E-002   2.0362328960840163E-002   73.338494288389199       -52.623561796185747        305.98847326880787     
   9.3480028624960687E-003  -2.9190383593376422E-003  -1.2364642701683495E-002   1.5773088841467109E-002  -27.763155793549579       -563.79012759007367       -232.55568048645577     
   6.9935330978291230E-003  -4.8850771519996748E-003  -1.0234544920201930E-002   1.3323640407000325E-002  -177.69725629804032       -986.21234281728368       -350.36777782517015     
  -1.6875568805422118E-003   3.4635566313748326E-003  -4.0472910519688821E-002   4.0655879755559884E-002  -53.188862368113192        259.80636071606574       -406.24046753020326     
  -1.8417460755301242E-002  -1.3918543133627879E-003   1.6925657704243102E-002   2.5052305439298234E-002  -614.28601683845136       -136.73139116996001       -215.27448327282926     
   1.5925844509164202E-002  -4.6528874125354612E-003  -1.5928452500620360E-002   2.2999945297072458E-002   459.27135763010148       -1081.8736580970665        85.640792622694562     
   8.2639271953711315E-003   1.2905455501434789E-003  -1.2113596602829858E-002   1.4720639359874312E-002  -270.71198248268661        268.56868787472098       -435.88176159358477     
  -3.8537110392613434E-003   1.7666493363394629E-003   4.2848799342374028E-003   6.0276309361592248E-003  -64.220047394556630        394.82561988950016        17.669761197823735     
  -7.8610362611169007E-004   3.3234746165455862E-003   2.6347648671910702E-003   4.3134010181286363E-003   172.52578342033129        741.15349235734459        181.29705736892942     
   3.7901295851583260E-003  -6.9753359621475364E-004  -6.6519687533498281E-003   7.6876734897941123E-003  -210.64350127534308       -209.59249476642100       -289.20701029701502     
  -1.1557207975309560E-002  -4.1770593354467330E-004   1.3793719694851218E-002   1.8000284371409350E-002   41.338110939307214       -24.257779880874654        271.09850156441865     
  -6.0363142796274680E-003   2.5776916669671989E-003   9.9951757016570383E-003   1.1957638634754852E-002   242.38477318359699        615.36394694260935        359.94355659487485     
   1.2731954936883625E-002  -4.7485544957132112E-003  -1.7663114050388291E-002   2.2285354928082653E-002  -243.08355617401003       -1177.8131448826728       -537.42637819180379     
  -8.6609478116414056E-003  -1.9560887642394828E-003   6.0159471380917245E-003   1.0725200241388224E-002  -390.08573086746190       -385.85059402436292       -265.07918597689167     
  -6.3116576904463856E-004   3.2275613743406543E-004  -1.0830345270514494E-002   1.0853521107494137E-002   41.467179100932697        53.234068974413674       -116.34078546706691     
  -2.8160882845789251E-003  -5.2112577350035749E-003   1.3527175921455562E-002   1.4767262739491851E-002  -6.3756150596100296       -169.75456980229328        486.33137185092284     
